,Player,Year,Age,MP,G,FGA,Load,Pts/75,rTS%,Box Creation,Passer Rating,Spacing,cTOV%,ScoreVal,PlayVal,FTA/100,FT%,3p Pro,rORB%,rDREB%,OBPM,BPM,IA Pts/75,IA PPG,IA APG,IA RPG,allStar,1stAS_yr,yr2AS
2008,Ray Williams,1979,24.0,2370,81,24.3,42.4,20.3,-0.027999999999999997,4.6,5.6,80.0,0.13,-0.4,0.4,6.0,0.8,0.0,-1.9,-4.9,0.0,0.6,21.6,16.3,5.5,3.3,0,,
2009,Raymond Felton,2007,22.0,2832,78,18.9,37.6,15.1,-0.06,6.2,6.5,113.0,0.11199999999999999,-1.1,0.5,4.7,0.8,0.33,-3.3,-5.3,0.2,-0.4,15.6,14.1,7.1,3.3,0,,
2010,Red Kerr,1956,23.0,2114,72,19.6,28.7,15.2,-0.011000000000000001,1.0,2.5,79.0,0.133,0.3,-0.7,6.7,0.66,,-1.8,5.4,-0.5,-0.4,18.4,14.7,1.1,5.7,0,,
2011,Reggie Evans,2004,23.0,1280,75,6.9,13.5,6.8,-0.045,0.3,2.7,61.0,0.2,-1.5,-1.4,6.2,0.56,0.0,8.8,8.7,-2.5,0.8,7.2,3.1,0.5,5.2,0,,
2012,Reggie Jackson,2013,22.0,993,70,16.8,28.1,14.6,-0.004,4.1,5.3,107.0,0.096,-0.5,0.0,3.2,0.84,0.23,-2.7,0.9,0.4,0.0,15.1,5.6,1.8,2.3,0,,
2013,Reggie Johnson,1982,24.0,783,31,17.6,25.1,17.0,0.043,1.4,2.6,75.0,0.12,0.3,-0.8,4.3,0.71,0.0,1.3,5.2,-0.1,0.1,15.8,10.5,0.9,5.8,0,,
2014,Reggie Miller,1989,23.0,2536,74,15.9,27.3,16.9,0.065,2.7,4.7,122.0,0.099,0.5,-0.2,6.5,0.84,0.39,-3.2,-4.3,1.6,1.2,17.2,15.2,2.7,3.8,1,1990.0,1.0
2015,Reggie Theus,1980,22.0,3029,82,18.2,37.6,19.4,0.048,4.9,5.4,100.0,0.14400000000000002,0.4,0.3,9.3,0.84,0.18,-1.3,-6.6,1.6,1.2,20.2,19.7,5.7,3.8,1,1981.0,1.0
2016,Reggie Williams,1989,24.0,1303,63,21.0,31.7,17.0,-0.040999999999999995,1.7,3.6,105.0,0.126,-1.2,-0.8,4.3,0.75,0.27,-0.8,-4.5,-1.6,-0.7,17.3,9.2,1.4,2.6,0,,
2017,Rex Chapman,1990,22.0,1762,54,25.7,36.2,19.7,-0.068,3.2,4.7,106.0,0.077,-0.9,-0.3,5.3,0.75,0.32,-3.2,-4.9,-1.1,-2.4,20.1,16.9,2.3,3.2,0,,
2018,Rich Kelley,1977,23.0,1505,76,11.4,25.7,11.7,0.043,1.3,6.3,95.0,0.187,-0.3,0.3,5.8,0.79,,7.3,10.3,-0.2,1.1,13.1,6.7,2.6,6.9,0,,
2019,Richard Hamilton,2001,22.0,2519,78,25.7,39.4,21.8,-0.01,4.2,4.5,111.0,0.10400000000000001,0.1,-0.1,6.6,0.87,0.25,-2.2,-6.7,0.7,-1.1,23.2,18.2,2.8,2.8,1,2006.0,5.0
2020,Richard Jefferson,2003,22.0,2879,80,16.6,27.2,17.0,0.044000000000000004,2.4,4.0,81.0,0.10300000000000001,0.4,-0.5,7.9,0.74,0.05,0.3,0.1,1.2,2.6,18.0,15.8,2.5,6.0,0,,
2021,Richie Guerin,1958,25.0,2368,63,16.3,30.8,13.0,-0.013999999999999999,1.8,4.4,68.0,0.14800000000000002,0.0,0.2,8.6,0.69,,-3.9,-2.5,0.6,0.0,16.3,16.4,5.9,4.6,1,1958.0,0.0
2022,Rick Adelman,1970,23.0,717,35,13.2,25.7,10.5,-0.057999999999999996,2.5,4.6,75.0,0.152,-1.1,-0.2,4.9,0.75,,-2.7,-6.0,-1.8,-1.6,11.9,5.9,2.7,1.6,0,,
2024,Rick Fox,1993,23.0,1082,71,17.8,29.3,15.9,-0.002,2.5,5.0,90.0,0.12300000000000001,-0.6,-0.3,4.7,0.8,0.09,-0.6,-2.8,0.0,1.2,16.2,6.2,1.5,2.2,0,,
2025,Rick Mahorn,1982,23.0,2664,80,14.8,22.5,13.3,-0.006999999999999999,1.7,3.5,69.0,0.129,-0.3,-0.6,4.2,0.63,0.0,-0.4,9.0,-0.7,1.4,13.7,11.9,1.7,8.7,0,,
2026,Rick Robey,1979,23.0,849,43,15.8,26.8,14.9,0.001,1.4,3.4,89.0,0.179,0.0,-0.5,6.5,0.74,0.0,3.6,7.6,-1.3,-1.1,16.8,9.6,1.5,6.0,0,,
2028,Ricky Davis,2000,20.0,570,48,16.8,28.7,15.3,0.019,2.7,4.5,76.0,0.14300000000000002,-0.7,-0.6,4.6,0.77,0.0,0.1,-3.8,-0.5,-1.5,16.2,4.8,1.3,1.6,0,,
2029,Ricky Pierce,1985,25.0,882,44,16.8,28.8,17.7,0.055999999999999994,2.5,4.2,84.0,0.11800000000000001,0.3,-0.4,6.8,0.82,0.02,-0.4,-4.9,0.9,1.3,18.1,9.5,1.9,2.7,1,1991.0,6.0
2030,Ricky Rubio,2013,22.0,1691,57,15.7,39.5,14.0,-0.053,6.6,8.5,106.0,0.134,-1.3,0.9,8.1,0.8,0.26,-2.4,-1.8,0.0,2.3,14.5,11.3,7.6,4.0,0,,
2031,Ricky Sobers,1977,24.0,2005,79,18.8,33.0,18.0,0.046,3.0,4.2,83.0,0.127,0.5,-0.1,6.5,0.84,,-2.0,-5.5,0.8,1.0,20.4,13.3,2.9,2.7,0,,
2032,Rik Smits,1990,23.0,2404,82,19.9,29.2,19.7,0.042,3.3,3.8,97.0,0.099,0.9,-0.4,6.1,0.81,0.0,0.5,3.9,1.1,2.0,20.0,15.2,1.6,6.1,0,,
2033,Robert Horry,1994,23.0,2370,81,15.0,24.9,12.8,-0.006999999999999999,1.8,5.7,106.0,0.11599999999999999,-0.5,-0.1,3.3,0.73,0.29,0.0,0.3,0.6,2.6,13.3,9.9,2.6,5.2,0,,
2034,Robert Pack,1993,23.0,1579,77,18.5,38.7,18.5,0.009000000000000001,5.9,5.7,78.0,0.145,-0.6,0.1,9.5,0.77,0.01,-2.9,-6.3,-0.2,0.5,18.9,9.8,3.8,1.9,0,,
2035,Robert Parish,1978,24.0,1969,82,21.0,31.3,17.7,-0.016,1.8,2.3,75.0,0.147,-0.5,-0.9,6.1,0.63,0.0,4.3,11.1,-1.1,0.7,0.0,0.0,0.0,0.0,1,1981.0,3.0
2036,Robert Reid,1979,23.0,2259,82,15.9,25.0,13.7,-0.009000000000000001,1.9,5.4,72.0,0.10800000000000001,0.2,0.3,3.8,0.7,0.0,-0.3,3.4,0.6,1.3,14.6,10.4,2.5,5.6,0,,
2038,Robin Lopez,2010,21.0,986,51,14.9,21.0,16.5,0.078,1.4,0.5,85.0,0.1,0.8,-1.6,6.4,0.7,0.0,7.3,0.9,0.6,-0.2,16.9,8.3,0.2,4.7,0,,
2039,Rod Higgins,1984,24.0,1577,78,13.2,21.1,11.5,-0.044000000000000004,1.1,4.4,75.0,0.109,-0.8,-0.5,4.8,0.72,0.02,-0.4,-4.6,-1.2,-1.6,11.7,6.3,1.3,2.7,0,,
2040,Rod Strickland,1990,23.0,1121,31,16.1,33.3,14.3,-0.033,3.7,7.3,66.0,0.111,-0.8,0.6,6.4,0.62,0.04,-1.6,-5.0,1.2,2.5,15.1,10.2,5.2,3.1,0,,
2041,Rodney Hood,2016,23.0,2541,79,20.2,30.7,17.9,0.001,3.6,5.2,120.0,0.085,-0.3,-0.2,4.2,0.86,0.36,-3.0,-4.7,1.1,1.3,18.5,16.3,3.0,3.6,0,,
2042,Rodney McCray,1985,23.0,3001,82,13.9,24.4,13.9,0.033,1.7,5.7,75.0,0.115,0.2,0.1,4.9,0.74,0.0,0.9,-0.8,1.0,2.2,14.2,13.5,3.8,6.4,0,,
2043,Rodney Rogers,1995,23.0,2142,80,18.8,31.4,18.0,0.006999999999999999,2.3,3.8,101.0,0.134,-0.2,-0.6,6.7,0.65,0.32,1.3,0.1,0.5,2.2,18.3,12.4,1.9,4.8,0,,
2044,Rodney Stuckey,2009,22.0,2517,79,20.1,36.9,17.5,-0.036000000000000004,5.6,5.9,101.0,0.10300000000000001,-0.8,0.3,6.4,0.8,0.2,-2.1,-4.9,0.4,0.5,17.8,14.6,5.6,3.7,0,,
2045,Rolando Blackman,1983,23.0,2349,75,20.7,30.8,19.8,0.017,2.6,4.2,80.0,0.075,1.0,-0.1,7.6,0.78,0.03,-1.8,-4.7,1.4,0.4,20.9,17.4,2.2,3.8,1,1985.0,2.0
2046,Ron Anderson,1986,27.0,1469,60,17.9,26.7,15.1,-0.026000000000000002,1.3,4.8,71.0,0.094,-0.2,-0.2,3.6,0.66,0.04,2.0,-4.2,-0.1,-0.6,15.5,9.0,1.7,3.6,0,,
2047,Ron Brewer,1980,24.0,2815,82,20.4,29.2,16.7,-0.027999999999999997,2.6,4.0,88.0,0.099,-0.1,-0.3,3.8,0.84,0.05,-4.6,-7.0,-0.6,-0.7,17.4,15.7,2.4,2.6,0,,
2048,Ron Harper,1988,24.0,1830,57,19.7,35.4,17.8,-0.024,4.4,6.1,73.0,0.122,-0.6,0.3,7.5,0.71,0.04,-2.4,-3.4,0.2,2.3,18.1,15.1,4.5,3.9,0,,
2049,Ron Mercer,1999,22.0,1551,41,23.9,32.7,17.7,-0.048,3.0,4.5,86.0,0.092,-0.6,-0.4,3.6,0.79,0.08,-3.4,-5.2,-0.6,-0.5,19.0,18.0,2.6,3.5,0,,
2050,Ron Williams,1970,25.0,2435,80,17.8,33.8,15.1,-0.017,3.9,5.2,82.0,0.135,-0.5,0.3,5.7,0.82,,-4.1,-8.3,-0.4,-0.8,16.9,12.4,4.6,1.8,0,,
